No,Title,Author,Publisher,Year
76,Checklist of the land and fresh water Mollusca of Sri Lanka,National Aquatic Resources Agency,NARA,1997
77,Distribution and relative abundance of Coral reef fishes in the vicinity of Hikkaduwa,National Aquatic Resources Agency,NARA,1982
78,Information on Mussels,National Aquatic Resources Agency,NARA,1986
79,Exploitation of Krill as a natural resource,National Aquatic Resources Agency,NARA,1986
80,Commercial fishery statistics 1979,National Aquatic Resources Agency,NARA,1980
81,Commercial fishery statistics 1980,National Aquatic Resources Agency,NARA,1981
82,Commercial fishery statistics 1981,National Aquatic Resources Agency,NARA,1982
83,Commercial fishery statistics 1982,National Aquatic Resources Agency,NARA,1983
84,Commercial fishery statistics 1983,National Aquatic Resources Agency,NARA,1984
85,Commercial fishery statistics 1984,National Aquatic Resources Agency,NARA,1985
86,Commercial fishery statistics 1985,National Aquatic Resources Agency,NARA,1986
87,සමීක්ෂාත්මක දේශීය ධීවර සම්භාරය,National Aquatic Resources Agency,NARA,1996
88,නෙළුම් වතුර තුළ,National Aquatic Resources Agency,NARA,
89,The fishermen's coast of Sri Lanka,පි කේ බි මහරූෆ්,NARA,2002
90,මිරිදිය මත්ස්‍ය වර්ග,එන්. කපුරුසිංහ,NARA,1995
91,සීත ජල දේශීය ජල සම්පත් පිළිබඳ දත්ත (කොළඹ) 1976-1981,සාගර සම්පත් පර්යේෂණ සංවර්ධන ආයතනය,NARA,
92,සීත ජල දේශීය ජල සම්පත් පිළිබඳ දත්ත (පුත්තලම) 1976-1981,සාගර සම්පත් පර්යේෂණ සංවර්ධන ආයතනය,NARA,
93,සීත ජල දේශීය ජල සම්පත් පිළිබඳ දත්ත (ත්‍රිකුණාමලය) 1976-1981,සාගර සම්පත් පර්යේෂණ සංවර්ධන ආයතනය,NARA,
94,සීත ජල දේශීය ජල සම්පත් පිළිබඳ දත්ත (හම්බන්තොට) 1976-1981,සාගර සම්පත් පර්යේෂණ සංවර්ධන ආයතනය,NARA,
95,Molluscan Fauna of Sri Lanka,National Aquatic Resources Agency,NARA,
96,සාගර ජීවීන්ගේ අනුමාන ගණන් 1986,National Aquatic Resources Agency,NARA,1987
97,Parasites of fishes of Sri Lanka,එෆ්.ජී. කේ. ජනුෂන්ථි,NARA,
98,ශ්‍රී ලංකාවේ මිරිදිය පුඵලතුංගා,එන්. කපුරුසිංහ,NARA,1993
99,A list of marine algae from Sri Lanka,ශිරාන්ති ඩි සිල්වා,NARA,
100,අතිරික්ත අඳුරු කැඩූ වාරිමාර්ගික සාගර සම්පත් (EEZ),National Aquatic Resources Agency,NARA,1999
101,1990 වර්ෂයේදී ශ්‍රී ලංකාවේ දේශීය මුහුදු වලින් අල්ලාගත් මත්ස්‍යයන්ගේ විවිධාකාරිත්වය සහ තත්ත්වය පිළිබඳ සමීක්ෂණයක්,කරුණාසිංහ,NARA,
102,බිලියනයක් සාගරයේ,රංජිත් එන්. ඩයස්,NARA,2003
103,මිරිදිය මත්ස්‍ය විද්‍යාව,පි. ඒ. ඩී. අජන්ත,NARA,2008
104,උපතල පරිසර අධ්‍යයන අත්පොත,ඒ.එම්. විකුම් මහේෂ්,NARA,2013
105,උතුරු බස්නාහිර අපර වෙරළ තීරයේ සාගර ජෛව විවිධත්වය හදුනා ගැනීමේ මඟ පෙන්වීම්,චාමරි හෙට්ටිආරච්චි,NARA,2019
106,Special publication No.1 Jaffna lagoon its Fisheries and Management,National Aquatic Resources Agency,NARA,1982
107,Special Publication No.02 Development of Fishery statistics for the west coast of Sri Lanka,National Aquatic Resources Agency,NARA,1985
108,Special Publication No.03 Catalogue of Marine Food fishes of Sri Lanka,National Aquatic Resources Agency,NARA,1985
109,Special publication No.04 Crabs of Sri Lanka,National Aquatic Resources Agency,NARA,1985
110,Occasional Papers No.06 An account of the fishery industry,National Aquatic Resources Agency,NARA,1987
111,Occasional papers No.07 The shrimps and prawns of Sri Lanka,National Aquatic Resources Agency,NARA,1987
112,Special Publication No.05 Annotated Bibliography of Marine Science Research in Sri Lanka during 1959 to 1987,National Aquatic Resources Agency,NARA,1987
113,Occasional Paper No.08 Catalogue of Marine Food Molluscs of Sri Lanka,National Aquatic Resources Agency,NARA,1988
114,Special Publication No.06 Bibliography of the Marine Environment of Sri Lanka 1987 to 1995,National Aquatic Resources Agency,NARA,1995
115,Special Publication No.07 Sand dunes along the Southern Coastal belt from Kalutara to Hambantota,National Aquatic Resources Agency,NARA,1995
116,Special Publication No.08 Ichthyoplankton of Negombo Lagoon Sri Lanka,අජිත් සිරිවර්ධන,NARA,1996
117,Special Publication No.09 Guide to some common fishes of Negombo Lagoon Sri Lanka,අජිත් සිරිවර්ධන,NARA,1996
118,Occasional Paper No.09 A list of marine algae of Sri Lanka,ශිරාන්ති ඩි සිල්වා,NARA,1996
119,Occasional Paper No.10 An account of the Serpulid tubeworms from Sri Lanka,එච්.එම්.ආර්.එම්. හලිම්,NARA,1997
120,Occasional paper No.11 A Checklist of Brachyuran Crabs of Sri Lanka,National Aquatic Resources Agency,NARA,1998
121,Occasional Paper No.12 A Checklist of Sipuncula of Sri Lanka,P.B. තේරණිල් සතරසිංහ,NARA,1998
122,Occasional Paper No.13 Alien Algae from the coastal waters of Sri Lanka,ආර්. එස්. හිරිමුතුගොඩ,NARA,1998
123,Occasional Paper No.14 A Checklist of the species of Echiura of Sri Lanka,එච්.එම්.ආර්.එම්. හලිම්,NARA,1999
124,Occasional Paper No.15 A new species of Chorizobrachium (Echiura Bonellidae) from Sri Lanka,P.B. තේරණිල් සතරසිංහ,NARA,1999
125,Special Publication No.10 Exploitation and Conservation of Aquatic Resources,එස්. ශිරාන්ති,NARA,1999
126,Occasional Papers No.16 A Preliminary Account of Polychaeta of Sri Lanka,එච්.එම්.ආර්.එම්. හලිම්,NARA,1999
127,Special publication No.11 Marine invertebrates from Hikkaduwa with special reference to commercially important species,අරුල්ඥානෙන්ද්‍රන්,NARA,1999
128,Special Publication No.12 Shrimp resources around Sri Lanka,National Aquatic Resources Agency,NARA,2001
129,Special Publication No.13 Status Survey and Conservation Action Plan for the Dugong (Dugong dugon) in Sri Lanka,National Aquatic Resources Agency,NARA,2004
130,Special Publication No.14 State of Coastal Habitats of Sri Lanka Seagrasses and Saltmarshes,National Aquatic Resources Agency,NARA,2004
131,Special Publication No.15 A revised checklist of Brachyuran crabs of Sri Lanka,එච්.එම්.ආර්.එම්. හලිම්,NARA,2005
132,Special Publication No.16 A revised guide to the Seaweeds of Negombo,ශිරාන්ති ඩි සිල්වා,NARA,2005
133,Special publication No.17 A preliminary assessment of the Status of the Globally Threatened Species of Elasmobranches and Sea Turtles of Sri Lanka,National Aquatic Resources Agency,NARA,2006
134,Special Publication No.18 Sea Turtles of Sri Lanka,National Aquatic Resources Agency,NARA,2006
135,Special Publication No.19 Status Survey and Conservation Action Plan for Marine Reptiles and Mammals in Sri Lanka,National Aquatic Resources Agency,NARA,2007
136,Special publication No.20 Fishery economics for the Gulf of Mannar Region of Sri Lanka,National Aquatic Resources Agency,NARA,
137,Special Publication No.21 State of Coastal Marine Habitats of Sri Lanka Mangroves and Salt Marshes,National Aquatic Resources Agency,NARA,2008
138,Special Publication No.22 Field Guide to Algae of Trincomalee Coastal Waters,චමිල කපුගේදර,NARA,2009
139,Special Publication No.23 Sustainable management practices of fisheries resources in Sri Lanka,National Aquatic Resources Agency,NARA,2011
140,Special publication No.25 Research on fisheries livelihoods in Sri Lanka,National Aquatic Resources Agency,NARA,2013
141,Special Publication No.24 Alien fish of Sri Lankan coast,තිලක් අබේවර්ධන,NARA,2013
142,Special Publication No.26 The Corals of Sri Lanka,අරුල්ඥානෙන්ද්‍රන්,NARA,2015
143,Special Publication No.27 A review of the fisheries and biodiversity importance of Adam's bridge reef complex around Sri Lanka's Northern Waters,National Aquatic Resources Agency,NARA,2017
144,Special Publication No.28 Seagrass ecosystems of Sri Lanka,National Aquatic Resources Agency,NARA,2018
145,Special Publication No.29 Marine Aquarium Fish Resources Around the Coast of Sri Lanka,තිලක් අබේවර්ධන,NARA,2019
146,Special Publication No.30 Towards mapping the deep scattering layer in tropical Sri Lankan Waters (Bay of Bengal and Arabian Sea),National Aquatic Resources Agency,NARA,2020
147,Special Publication No.31 A review on the occurrence in abundance trends fishing activities impacts and threats to Sea Snakes in Sri Lankan waters,එම්.ඩී.එස්.ටී. ද සිල්වා,NARA,2022
148,Commercial trawling along the south coast of Sri Lanka,National Aquatic Resources Agency,NARA,1996
149,Guide to the Dredge and Trap fishing along the west and south coasts of Sri Lanka,National Aquatic Resources Agency,NARA,1998
150,කිමිදුම් පවුර භාවිතා කරමින් මසුන් අල්ලාගැනීමේ ඉතිහාසය,National Aquatic Resources Agency,NARA,2003
151,සැරිසරන සදොස් දාම භාවිතා කරමින් මසුන් අල්ලා ගැනීම,National Aquatic Resources Agency,NARA,2003
152,ගිල් දැල් භාවිතා කොට මසුන් අල්ලා ගැනීම පිලිබද උපදේශන කරුණු,National Aquatic Resources Agency,NARA,2003
153,ශ්‍රී ලංකාවේ මාඵල් ව්‍යාපාරය,රංජිත් ජයරත්නය,NARA,2000
154,දුරස්ථ ප්‍රදර්ශන ප්‍රණාලිය සහ භූගෝල තොරතුරු ප්‍රණාලිය,රංජිත් ජයරත්නය,NARA,2003
155,කැස්බෑවන්,රංජිත් ජයරත්නය,NARA,2004
156,The potential of longline fishery for Tunas and related species in the Indian EEZ,National Aquatic Resources Agency,NARA,1998
157,කරඬුවේ ඇල්ලීමට එල්ල කරන බස ඇතුලත් කිරීම කර්මාන්ත කළ,National Aquatic Resources Agency,NARA,
158,Scombroids and Bill fishes,National Aquatic Resources Agency,NARA,1998
159,Carangids,National Aquatic Resources Agency,NARA,1998
160,සීත ජල දේශීය ජල සම්පත් පිළිබඳ දත්ත (ගාල්ල) 1976-1981,සාගර සම්පත් පර්යේෂණ සංවර්ධන ආයතනය,NARA,
161,Technical information on selected commercial fish species,National Aquatic Resources Agency,NARA,1987
162,Fishing methods and nets in the coastal regions of Sri Lanka,National Aquatic Resources Agency,NARA,1997
163,අර්ධ තීව්‍ර සම්පරිමෝචක විස්තරයන් විශාලනය කිරීමේ නීතිය,National Aquatic Resources Agency,NARA,
164,Technical manual for Participatory Coastal Resource Management in the GON Region,එන්. ඩේවිඩ් සුබසිංහ,NARA,
165,Report of the Sectoral Workshop on Coral reefs,National Aquatic Resources Agency,NARA,2006
166,Report of the sectoral Workshop on Seagrass and Seaweed resources of the GoM Region,National Aquatic Resources Agency,NARA,2006
167,Report of the sectoral workshop on Mangrove resources of the GON region,National Aquatic Resources Agency,NARA,2006
168,Report of the Sectoral workshop on Fisheries of the GoM Region,National Aquatic Resources Agency,NARA,2006
169,Report of a survey of the Northern Jaffna Lagoon,National Aquatic Resources Agency,NARA,2011
170,Report on the Capacity Building Workshop of CRMPs,National Aquatic Resources Agency,NARA,
171,Study on Factors Affecting Implementation of CRMP Activities in the GoM Region,National Aquatic Resources Agency,NARA,
172,Mapping of Seagrass Cover and Estimation of Seagrass Biomass in the Northern GoM Region,National Aquatic Resources Agency,NARA,
173,Report on the Assessment of Water Quality in the Gulf of Mannar Region,National Aquatic Resources Agency,NARA,2007
174,Coastal habitats of Mannar Island,National Aquatic Resources Agency,NARA,2008
175,Fisheries resource assessment Northern Gulf of Mannar Region Sri Lanka,National Aquatic Resources Agency,NARA,2008
176,කරඬු දියකිරීම - මීගමු කලපුව තුළ සිදුවන ක්‍රියාවලියක්,National Aquatic Resources Agency,NARA,2009
177,තට්ටු බිත්තර - මීගමු කලපුව තුළ සිදුවන ක්‍රියාවලියක්,National Aquatic Resources Agency,NARA,2009
178,කඩල් ඉකිරීම - ගෝපල්ල වීදියේ,National Aquatic Resources Agency,NARA,2009
179,කලපුවෙහි දී ඉම්බිය අල්ලාගැනීම,National Aquatic Resources Agency,NARA,2009
180,An overview of the activities of NARA,National Aquatic Resources Agency,NARA,
